grade,semester,unitTitle,primaryConceptId,type,difficulty,count,evidenceCardIds,examPatternCardIds
P2,lower,表内除法（一）,division-meaning,multiple-choice,Foundation,4,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-division-facts
P2,lower,表内除法（一）,division-meaning,multiple-choice,Core,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-division-facts
P2,lower,表内除法（二）,division-meaning,fill-in,Core,3,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-division-facts
P2,lower,表内除法（二）,division-meaning,fill-in,Foundation,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-division-facts
P2,lower,表内除法（二）,division-meaning,multiple-choice,Foundation,2,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-division-facts
P2,lower,解决问题,p2-lower-problem-solving,fill-in,Core,2,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-problem-solving-tiered-review
P2,lower,解决问题,p2-lower-problem-solving,fill-in,Foundation,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-problem-solving-tiered-review
P2,lower,解决问题,p2-lower-problem-solving,multiple-choice,Core,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-problem-solving-tiered-review
P2,lower,解决问题,p2-lower-problem-solving,short-answer,Core,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-problem-solving-tiered-review
P2,lower,近似数,within-10000-numbers,fill-in,Core,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,lower,近似数,within-10000-numbers,fill-in,Foundation,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,lower,近似数,within-10000-numbers,multiple-choice,Foundation,2,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,lower,近似数,within-10000-numbers,short-answer,Challenge,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,lower,近似数,within-10000-numbers,short-answer,Foundation,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,lower,近似数,within-10000-numbers,short-answer,Core,1,pep-primary-p2-lower-division-measurement-data,pep-primary-p2-lower-paper-within-10000-number-add-sub
P2,upper,乘法的初步认识,multiplication-meaning,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,乘法的初步认识,multiplication-meaning,fill-in,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,乘法的初步认识,multiplication-meaning,multiple-choice,Foundation,2,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,乘法的初步认识,multiplication-meaning,short-answer,Challenge,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,乘法的初步认识,multiplication-meaning,short-answer,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,乘法的初步认识,multiplication-meaning,short-answer,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-multiplication-arrays
P2,upper,厘米和米,length-measurement,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-length-measurement
P2,upper,厘米和米,length-measurement,fill-in,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-length-measurement
P2,upper,厘米和米,length-measurement,multiple-choice,Foundation,6,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-length-measurement
P2,upper,厘米和米,length-measurement,short-answer,Challenge,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-length-measurement
P2,upper,厘米和米,length-measurement,short-answer,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-length-measurement
P2,upper,情境应用,p2-upper-error-analysis,fill-in,Core,3,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,情境应用,p2-upper-error-analysis,fill-in,Foundation,2,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,情境应用,p2-upper-error-analysis,multiple-choice,Foundation,2,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,易错提优,p2-upper-error-analysis,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,易错提优,p2-upper-error-analysis,fill-in,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,易错提优,p2-upper-error-analysis,multiple-choice,Foundation,4,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,易错提优,p2-upper-error-analysis,multiple-choice,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,期中综合,p2-upper-integrated-review,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期中综合,p2-upper-integrated-review,fill-in,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期中综合,p2-upper-integrated-review,multiple-choice,Foundation,4,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期中综合,p2-upper-integrated-review,multiple-choice,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期末综合,p2-upper-integrated-review,fill-in,Core,3,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期末综合,p2-upper-integrated-review,fill-in,Foundation,2,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,期末综合,p2-upper-integrated-review,multiple-choice,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,素养拓展,p2-upper-error-analysis,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,素养拓展,p2-upper-error-analysis,multiple-choice,Foundation,2,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,素养拓展,p2-upper-error-analysis,short-answer,Challenge,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,素养拓展,p2-upper-error-analysis,short-answer,Foundation,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,素养拓展,p2-upper-error-analysis,short-answer,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-error-literacy-extension
P2,upper,素养达标,p2-upper-integrated-review,fill-in,Core,1,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
P2,upper,素养达标,p2-upper-integrated-review,multiple-choice,Foundation,3,pep-primary-p2-upper-multiplication-facts,pep-primary-p2-upper-paper-midterm-final-integrated
