grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,zhongkaoPatternCardIds
S1,lower,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fill-in,Foundation,7,bnu-junior-s1-lower-polynomial-multiply-divide,bnu-junior-s1-lower-assessment-polynomial-multiply-divide-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-probability-introduction,概率初步,short-answer,Core,21,bnu-junior-s1-lower-probability-introduction,bnu-junior-s1-lower-assessment-probability-introduction-unit|bnu-junior-s1-lower-assessment-midterm-1-to-3-integrated,pep-junior-exam-statistics-probability|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-probability-introduction,概率初步,multiple-choice,Core,20,bnu-junior-s1-lower-probability-introduction,bnu-junior-s1-lower-assessment-probability-introduction-unit|bnu-junior-s1-lower-assessment-midterm-1-to-3-integrated,pep-junior-exam-statistics-probability|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,multiple-choice,Core,7,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,short-answer,Foundation,7,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,fill-in,Core,7,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,multiple-choice,Foundation,7,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,short-answer,Core,7,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-triangles,三角形,fill-in,Foundation,6,bnu-junior-s1-lower-triangles,bnu-junior-s1-lower-assessment-triangles-unit|bnu-junior-s1-lower-assessment-midterm-1-to-4-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,bnu-junior-s1-lower-variable-relationships,变量之间的关系,fill-in,Foundation,7,bnu-junior-s1-lower-variable-relationships,bnu-junior-s1-lower-assessment-variable-relationships-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-variable-relationships,变量之间的关系,multiple-choice,Core,7,bnu-junior-s1-lower-variable-relationships,bnu-junior-s1-lower-assessment-variable-relationships-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-variable-relationships,变量之间的关系,short-answer,Foundation,7,bnu-junior-s1-lower-variable-relationships,bnu-junior-s1-lower-assessment-variable-relationships-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
